tau,[Energy Variance after Forward Protocol, Energy Variance after Wait Time, Energy Variance after Cyclic Protocol ]
0.010000000000000002,[0.004667373754959758, 0.004667373755590521, 0.006665290616656887]
0.012067926406393288,[0.004667124098436209, 0.00466712409906851, 0.00666459839419467]
0.014563484775012436,[0.004666814644653791, 0.004666814645285254, 0.006663756749045863]
0.017575106248547922,[0.004666429304005875, 0.004666429304635708, 0.006662732049229013]
0.021209508879201904,[0.004665946964853726, 0.004665946965481006, 0.006661482567048446]
0.025595479226995357,[0.0046653396836450435, 0.004665339684275159, 0.006659956366701797]
0.030888435964774818,[0.004664570152792699, 0.004664570153423113, 0.006658088625392191]
0.0372759372031494,[0.004663588137633505, 0.004663588138261249, 0.006655798272121082]
0.04498432668969444,[0.0046623254423928786, 0.0046623254430195864, 0.006652983844821761]
0.054286754393238594,[0.004660688774262738, 0.0046606887748935925, 0.006649518560092357]
0.0655128556859551,[0.004658549599633487, 0.004658549600260026, 0.006645244803313672]
0.07906043210907697,[0.004655729692127597, 0.004655729692757477, 0.006639968606439243]
0.09540954763499938,[0.00465198053178109, 0.004651980532410511, 0.006633455189723208]
0.1151395399326447,[0.00464695393087544, 0.004646953931501525, 0.006625426482655291]
0.13894954943731375,[0.004640160215260962, 0.004640160215891023, 0.006615558119753765]
0.16768329368110074,[0.0046309088935658676, 0.004630908894193088, 0.006603459141174785]
0.20235896477251566,[0.0046182249873398876, 0.004618224987962516, 0.006588579268904627]
0.2442053094548651,[0.004600732328415951, 0.004600732329036454, 0.006569929404511298]
0.29470517025518095,[0.004576493769940008, 0.004576493770562095, 0.006545542758996528]
0.35564803062231287,[0.00454279943052197, 0.004542799431135452, 0.006512132457144564]
0.42919342601287763,[0.004495902380302882, 0.004495902380916632, 0.006466403411711104]
0.517947467923121,[0.004430726284249143, 0.00443072628485874, 0.006407999529743236]
0.6250551925273969,[0.004340627633211194, 0.004340627633820753, 0.006339365678425271]
0.7543120063354615,[0.004217400428106317, 0.004217400428702973, 0.006262511381194546]
0.9102981779915218,[0.00405182924527652, 0.004051829245863982, 0.006142078668183834]
1.0985411419875584,[0.003835023654751248, 0.0038350236553245116, 0.0058548878656573215]
1.325711365590108,[0.0035600370635046515, 0.003560037064063245, 0.005386706842707982]
1.5998587196060574,[0.0032217648638543815, 0.0032217648643908248, 0.0048045531323694275]
1.9306977288832496,[0.002813199018108767, 0.0028131990186166063, 0.004117865315392066]
2.329951810515372,[0.00232290500400295, 0.0023229050044670037, 0.0033903251943365074]
2.811768697974228,[0.001750132398855228, 0.001750132399262033, 0.002605104337334457]
3.3932217718953264,[0.0011450564699838682, 0.0011450564703167309, 0.0016653002221021318]
4.094915062380423,[0.0006190667292421926, 0.0006190667294779281, 0.0008928814656223905]
4.941713361323833,[0.0002674872739167543, 0.00026748727410184957, 0.00032967502608013233]
5.963623316594643,[9.960050431799075e-5, 9.960050448827744e-5, 7.888843427254638e-5]
7.196856730011514,[5.532005521683657e-5, 5.532005538186249e-5, 1.0931374663097531e-5]
8.68511373751352,[4.951801865193324e-5, 4.951801881618986e-5, 1.9539055727818452e-6]
10.481131341546853,[4.8381371986393365e-5, 4.838137215053399e-5, 4.5016486348611345e-8]
12.648552168552959,[4.836449774242394e-5, 4.836449790666625e-5, 1.6114340409115868e-9]
15.264179671752318,[4.836381028104212e-5, 4.836381044554789e-5, 1.964216382477593e-9]
18.420699693267146,[4.836522562157432e-5, 4.836522578577234e-5, 3.616207889393043e-10]
22.229964825261934,[4.836658206797277e-5, 4.8366582231810505e-5, 3.793926270849025e-11]
26.826957952797247,[4.836645567198623e-5, 4.8366455836461605e-5, 2.649041115619488e-11]
32.374575428176435,[4.836671753359379e-5, 4.836671769792906e-5, 7.224589332419718e-12]
39.06939937054613,[4.8366891450004666e-5, 4.8366891614468527e-5, 5.833083180838057e-13]
47.1486636345739,[4.83669131309334e-5, 4.836691329510824e-5, 3.2752916295982577e-13]
56.89866029018293,[4.8366957603621355e-5, 4.836695776777655e-5, 1.643926175582985e-14]
68.66488450042998,[4.8366964738787145e-5, 4.8366964902716325e-5, 3.371329181863514e-15]
82.86427728546842,[4.836696588479447e-5, 4.836696604832165e-5, 1.7325400886508322e-15]
99.9999999999999,[4.836696758780932e-5, 4.8366967751608454e-5, 6.878276155605303e-16]
